PlayerID,Player,Pos,Age,Tm,Year,G,GS,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TARGET
abdelal01,Alaa Abdelnaby,PF,22,POR,1991,43,0,290,135,55,116,0.47413793103448276,0,0,NA,55,116,0.47413793103448276,0.47413793103448276,25,44,0.5681818181818182,27,62,89,12,4,12,22,39,TRUE
abdulma02,Mahmoud Abdul-Rauf,PG,21,DEN,1991,67,19,1505,942,417,1009,0.4132804757185332,24,100,0.24,393,909,0.43234323432343236,0.4251734390485629,84,98,0.8571428571428571,34,87,121,206,55,4,110,149,TRUE
abdulta01,Tariq Abdul-Wahad,SG,23,SAC,1998,59,16,959,376,144,357,0.40336134453781514,4,19,0.21052631578947367,140,338,0.41420118343195267,0.40896358543417366,84,125,0.672,44,72,116,51,35,13,65,81,TRUE
abdursh01,Shareef Abdur-Rahim,PF,20,VAN,1997,80,71,2802,1494,550,1214,0.45304777594728174,7,27,0.25925925925925924,543,1187,0.45745577085088457,0.4559308072487644,387,519,0.7456647398843931,216,339,555,175,79,79,225,199,TRUE
abrinal01,Álex Abrines,SG,23,OKC,2017,68,6,1055,406,134,341,0.39296187683284456,94,247,0.3805668016194332,40,94,0.425531915,0.530791789,44,49,0.8979591836734694,18,68,86,40,37,8,33,114,FALSE
ackeral01,Alex Acker,SG,23,DET,2006,5,0,35,9,4,16,0.25,1,5,0.2,3,11,0.2727272727272727,0.28125,0,0,NA,1,4,5,4,1,0,4,4,FALSE
acresma01,Mark Acres,C,25,BOS,1988,79,5,1151,287,108,203,0.5320197044334976,0,0,NA,108,203,0.5320197044334976,0.5320197044334976,71,111,0.6396396396396397,105,165,270,42,29,27,54,198,TRUE
acyqu01,Quincy Acy,PF,22,TOR,2013,29,0,342,116,42,75,0.56,1,2,0.5,41,73,0.5616438356164384,0.5666666666666667,31,38,0.8157894736842105,30,47,77,11,13,15,17,53,TRUE
adamsha01,Hassan Adams,SG,22,NJN,2007,61,8,495,174,75,135,0.5555555555555556,0,1,0,75,134,0.5597014925373134,0.5555555555555556,24,36,0.6666666666666666,35,42,77,13,17,4,22,47,FALSE
adamsjo01,Jordan Adams,SG,20,MEM,2015,30,0,248,94,35,86,0.4069767441860465,10,25,0.4,25,61,0.4098360655737705,0.46511627906976744,14,23,0.6086956521739131,9,19,28,16,16,7,14,24,FALSE
adamsmi01,Michael Adams,PG,23,SAC,1986,18,0,139,40,16,44,0.36363636363636365,0,3,0,16,41,0.3902439024390244,0.36363636363636365,8,12,0.6666666666666666,2,4,6,22,9,1,11,9,TRUE
adamsst01,Steven Adams,C,20,OKC,2014,81,20,1197,265,93,185,0.5027027027027027,0,0,NA,93,185,0.5027027027027027,0.5027027027027027,79,136,0.5808823529411765,142,190,332,43,40,57,71,203,TRUE
addisra01,Rafael Addison,SF,22,PHO,1987,62,12,711,359,146,331,0.44108761329305135,16,50,0.32,130,281,0.4626334519572954,0.4652567975830816,51,64,0.796875,41,65,106,45,27,7,54,75,TRUE
adrieje01,Jeff Adrien,PF,24,GSW,2011,23,0,196,57,23,54,0.42592592592592593,0,0,NA,23,54,0.42592592592592593,0.42592592592592593,11,19,0.5789473684210527,23,35,58,10,4,5,9,28,TRUE
afflaar01,Arron Afflalo,SG,22,DET,2008,75,9,970,276,99,241,0.4107883817427386,10,48,0.20833333333333334,89,193,0.46113989637305697,0.4315352697095436,68,87,0.7816091954022989,36,101,137,52,31,8,34,83,TRUE
agerma01,Maurice Ager,SG,22,DAL,2007,32,1,214,69,22,70,0.3142857142857143,5,15,0.3333333333333333,17,55,0.3090909090909091,0.35,20,33,0.6060606060606061,1,20,21,7,4,3,15,27,FALSE
aguirma01,Mark Aguirre,SF,22,DAL,1982,51,20,1468,955,381,820,0.46463414634146344,25,71,0.352112676,356,749,0.4753004005340454,0.4798780487804878,168,247,0.680161943,89,160,249,164,37,22,135,152,TRUE
ahearbl01,Blake Ahearn,PG,23,MIA,2008,12,0,177,70,15,57,0.2631578947368421,10,34,0.29411764705882354,5,23,0.21739130434782608,0.3508771929824561,30,31,0.967741935,1,18,19,19,6,0,16,20,FALSE
aingeda01,Danny Ainge,SG,22,BOS,1982,53,1,564,219,79,221,0.3574660633484163,5,17,0.29411764705882354,74,204,0.3627450980392157,0.36877828054298645,56,65,0.8615384615384616,25,31,56,87,37,3,53,86,TRUE
ajincal01,Alexis Ajinça,PF,20,CHA,2009,31,4,182,70,25,69,0.36231884057971014,0,2,0,25,67,0.373134328,0.36231884057971014,20,28,0.7142857142857143,9,21,30,3,7,6,12,34,TRUE
akognjo01,Josh Akognon,PG,26,DAL,2013,3,0,9,5,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,NA,0,1,1,1,0,0,0,3,FALSE
alabiso01,Solomon Alabi,C,22,TOR,2011,12,0,59,6,3,15,0.2,0,0,NA,3,15,0.2,0.2,0,2,0,7,7,14,2,2,2,3,5,FALSE
alarima01,Mark Alarie,PF,23,DEN,1987,64,25,1110,503,217,443,0.4898419864559819,2,9,0.2222222222222222,215,434,0.49539170506912444,0.49209932279909707,67,101,0.6633663366336634,73,141,214,74,22,28,56,138,TRUE
aldemfu01,Furkan Aldemir,PF,23,PHI,2015,41,9,540,93,40,78,0.5128205128205128,0,5,0,40,73,0.547945205,0.5128205128205128,13,27,0.48148148148148145,78,98,176,28,17,16,17,96,FALSE
aldrico01,Cole Aldrich,C,22,OKC,2011,18,0,142,18,8,15,0.5333333333333333,0,0,NA,8,15,0.5333333333333333,0.5333333333333333,2,4,0.5,13,22,35,4,5,7,8,30,TRUE
aldrila01,LaMarcus Aldridge,C,21,POR,2007,63,22,1392,565,241,479,0.5031315240083507,0,2,0,241,477,0.5052410901467506,0.5031315240083507,83,115,0.7217391304347827,144,168,312,24,22,73,43,186,TRUE
aleksch01,Chuck Aleksinas,C,25,GSW,1985,74,4,1114,377,161,337,0.47774480712166173,0,1,0,161,336,0.4791666666666667,0.47774480712166173,55,75,0.7333333333333333,87,183,270,36,15,15,72,171,FALSE
alexacl01,Cliff Alexander,PF,20,POR,2016,8,0,36,10,5,10,0.5,0,0,NA,5,10,0.5,0.5,0,0,NA,2,4,6,0,1,2,1,1,FALSE
alexaco01,Cory Alexander,PG,22,SAS,1996,60,0,560,168,63,155,0.4064516129032258,26,66,0.3939393939393939,37,89,0.4157303370786517,0.49032258064516127,16,25,0.64,9,33,42,121,27,2,68,94,TRUE
alexaco02,Courtney Alexander,PG,23,DAL/WAS,2001,65,24,1382,618,239,573,0.41710296684118675,17,46,0.3695652173913043,222,527,0.42125237191650855,0.4319371727748691,123,150,0.82,42,101,143,62,45,5,75,139,FALSE
alexaga01,Gary Alexander,PF,24,MIA/CLE,1994,11,0,55,19,8,14,0.5714285714285714,0,0,NA,8,14,0.5714285714285714,0.5714285714285714,3,9,0.3333333333333333,7,8,15,2,3,0,8,10,FALSE
alexajo01,Joe Alexander,SF,22,MIL,2009,59,0,716,278,102,245,0.4163265306122449,16,46,0.34782608695652173,86,199,0.4321608040201005,0.4489795918367347,58,83,0.6987951807228916,44,71,115,42,15,29,52,107,FALSE
alexavi01,Victor Alexander,C,22,GSW,1992,80,28,1350,589,243,459,0.5294117647058824,0,1,0,243,458,0.5305676855895196,0.5294117647058824,103,149,0.6912751677852349,106,230,336,32,45,62,91,176,TRUE
alforst01,Steve Alford,PG,23,DAL,1988,28,0,197,59,21,55,0.38181818181818183,1,8,0.125,20,47,0.425531915,0.39090909090909093,16,17,0.9411764705882353,3,20,23,23,17,3,12,23,FALSE
allenje01,Jerome Allen,SG,23,MIN,1996,41,0,362,108,36,105,0.34285714285714286,10,33,0.30303030303030304,26,72,0.3611111111111111,0.3904761904761905,26,36,0.7222222222222222,5,20,25,49,21,5,34,42,FALSE
allenla01,Lavoy Allen,PF,22,PHI,2012,41,15,624,169,79,167,0.47305389221556887,0,0,NA,79,167,0.47305389221556887,0.47305389221556887,11,14,0.7857142857142857,47,124,171,34,13,18,20,73,TRUE
allenma01,Malik Allen,PF,23,MIA,2002,12,2,161,52,22,51,0.43137254901960786,0,1,0,22,50,0.44,0.43137254901960786,8,10,0.8,15,23,38,5,3,8,2,16,TRUE
allenra01,Randy Allen,SG,24,SAC,1989,7,0,43,17,8,19,0.42105263157894735,0,1,0,8,18,0.4444444444444444,0.42105263157894735,1,2,0.5,3,4,7,0,1,1,2,7,FALSE
allenra02,Ray Allen*,SG,21,MIL,1997,82,81,2532,1102,390,908,0.42951541850220265,117,298,0.3926174496644295,273,610,0.44754098360655736,0.493942731,205,249,0.8232931726907631,97,229,326,210,75,10,149,218,TRUE
allento01,Tony Allen,SG,23,BOS,2005,77,34,1262,492,184,387,0.4754521963824289,12,31,0.3870967741935484,172,356,0.48314606741573035,0.4909560723514212,112,152,0.7368421052631579,85,136,221,64,76,24,77,156,TRUE
allrela01,Lance Allred,C,26,CLE,2008,3,0,10,3,1,4,0.25,0,0,NA,1,4,0.25,0.25,1,2,0.5,0,1,1,0,0,0,0,1,FALSE
allumda01,Darrell Allums,PF,22,DAL,1981,22,NA,276,59,23,67,0.34328358208955223,0,1,0,23,66,0.3484848484848485,0.34328358208955223,13,22,0.5909090909090909,19,46,65,25,5,8,23,51,FALSE
almonmo01,Morris Almond,SG,22,UTA,2008,9,0,39,13,4,15,0.26666666666666666,1,4,0.25,3,11,0.2727272727272727,0.3,4,6,0.6666666666666666,0,2,2,3,1,0,2,5,FALSE
alstode01,Derrick Alston,C,22,PHI,1995,64,1,1032,299,120,258,0.46511627906976744,0,4,0,120,254,0.47244094488188976,0.46511627906976744,59,120,0.49166666666666664,98,121,219,33,39,35,53,107,FALSE
alstora01,Rafer Alston,PG,23,MIL,2000,27,0,361,60,27,95,0.28421052631578947,3,14,0.21428571428571427,24,81,0.2962962962962963,0.3,3,4,0.75,5,18,23,70,12,0,29,29,TRUE
alumape01,Peter Aluma,C,25,SAC,1999,2,0,5,2,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,0,NA,1,1,2,0,1,1,2,4,FALSE
amaecjo01,John Amaechi,PF,25,CLE,1996,28,3,357,77,29,70,0.4142857142857143,0,0,NA,29,70,0.4142857142857143,0.4142857142857143,19,33,0.5757575757575758,13,39,52,9,6,11,34,49,TRUE
amayaas01,Ashraf Amaya,PF,24,VAN,1996,54,34,1104,339,121,252,0.4801587301587302,0,1,0,121,251,0.4820717131474104,0.4801587301587302,97,149,0.6510067114093959,114,189,303,33,22,10,57,151,FALSE
aminual01,Al-Farouq Aminu,SF,20,LAC,2011,81,14,1452,457,160,406,0.39408866995073893,45,143,0.3146853146853147,115,263,0.4372623574144487,0.44950738916256155,92,119,0.773109244,75,192,267,60,59,25,103,121,TRUE
amundlo01,Lou Amundson,PF,24,UTA/PHI,2007,11,0,89,16,6,15,0.4,0,0,NA,6,15,0.4,0.4,4,10,0.4,13,15,28,1,1,8,5,15,TRUE
anderal01,Alan Anderson,SF,23,CHA,2006,36,7,564,207,75,181,0.4143646408839779,24,58,0.41379310344827586,51,123,0.4146341463414634,0.48066298342541436,33,41,0.8048780487804879,23,47,70,32,11,4,32,48,TRUE
anderan02,Antonio Anderson,SF,24,OKC,2010,1,0,15,2,1,3,0.3333333333333333,0,0,NA,1,3,0.3333333333333333,0.3333333333333333,0,0,NA,1,0,1,0,0,0,1,1,FALSE
anderch01,Chris Andersen,C,23,DEN,2002,24,1,262,72,25,74,0.33783783783783783,0,4,0,25,70,0.35714285714285715,0.33783783783783783,22,28,0.7857142857142857,38,38,76,7,7,28,13,35,TRUE
anderda03,David Andersen,C,29,HOU,2010,63,0,891,367,147,340,0.4323529411764706,27,78,0.34615384615384615,120,262,0.4580152671755725,0.47205882352941175,46,67,0.6865671641791045,54,154,208,44,15,12,37,119,FALSE
anderde01,Derek Anderson,SF,23,CLE,1998,66,13,1839,770,239,586,0.40784982935153585,17,84,0.20238095238095238,222,502,0.44223107569721115,0.42235494880546076,275,315,0.873015873,55,132,187,227,86,13,128,136,TRUE
anderdw01,Dwight Anderson,PG,22,DEN,1983,5,0,33,21,7,14,0.5,0,0,NA,7,14,0.5,0.5,7,10,0.7,0,2,2,3,1,0,5,7,FALSE
anderer01,Eric Anderson,PF,22,NYK,1993,16,0,44,21,5,18,0.2777777777777778,0,0,NA,5,18,0.2777777777777778,0.2777777777777778,11,13,0.8461538461538461,6,8,14,3,3,1,5,14,FALSE
andergr01,Greg Anderson,PF,23,SAS,1988,82,45,1984,957,379,756,0.5013227513227513,1,5,0.2,378,751,0.5033288948069241,0.501984127,198,328,0.6036585365853658,161,352,513,79,54,122,143,228,TRUE
anderja01,James Anderson,SF,21,SAS,2011,26,2,286,94,31,81,0.38271604938271603,18,46,0.391304348,13,35,0.37142857142857144,0.49382716049382713,14,18,0.7777777777777778,2,21,23,18,3,6,13,24,TRUE
anderjj01,J.J. Anderson,SF,22,PHI/UTA,1983,65,2,1202,480,190,379,0.5013192612137203,0,4,0,190,375,0.5066666666666667,0.5013192612137203,100,175,0.5714285714285714,119,175,294,67,63,21,79,153,FALSE
anderju01,Justin Anderson,SF,22,DAL,2016,55,9,647,208,71,175,0.4057142857142857,22,83,0.26506024096385544,49,92,0.532608696,0.4685714285714286,44,55,0.8,18,114,132,29,19,25,24,45,TRUE
anderke01,Kenny Anderson,PG,21,NJN,1992,64,13,1086,450,187,480,0.38958333333333334,3,13,0.23076923076923078,184,467,0.39400428265524623,0.3927083333333333,73,98,0.7448979591836735,38,89,127,203,67,9,97,68,TRUE
anderky01,Kyle Anderson,SF,21,SAS,2015,33,8,358,74,31,89,0.34831460674157305,3,11,0.2727272727272727,28,78,0.358974359,0.3651685393258427,9,14,0.6428571428571429,5,67,72,28,15,7,10,28,TRUE
